Slide Event                                     File                               Size
----------------------------------------------------------------------------------------------------
1     Profile-TitleSlide                        slide01_Profile-TitleSlide/img01.png5.91x9.02
2     Profile-ContactInfo                       slide02_Profile-ContactInfo/img01.png4.24x6.36
3     Water-Supply-Scarcity-Madhavaram          slide03_Water-Supply-Scarcity-Madhavaram/img01.png2.66x2.7
3     Water-Supply-Scarcity-Madhavaram          slide03_Water-Supply-Scarcity-Madhavaram/img02.png4.16x2.53
3     Water-Supply-Scarcity-Madhavaram          slide03_Water-Supply-Scarcity-Madhavaram/img03.png4.5x2.34
3     Water-Supply-Scarcity-Madhavaram          slide03_Water-Supply-Scarcity-Madhavaram/img04.png1.19x1.71
4     Water-For-Animals                         slide04_Water-For-Animals/img01.png4.22x2.67
4     Water-For-Animals                         slide04_Water-For-Animals/img02.png3.75x2.25
4     Water-For-Animals                         slide04_Water-For-Animals/img03.png3.62x2.3
5     Food-CorporationWorkers-Covid             slide05_Food-CorporationWorkers-Covid/img01.jpeg3.76x2.82
5     Food-CorporationWorkers-Covid             slide05_Food-CorporationWorkers-Covid/img02.jpeg3.62x2.71
5     Food-CorporationWorkers-Covid             slide05_Food-CorporationWorkers-Covid/img03.jpeg3.62x2.82
6     Aravanaikum-Karangal-Orphanage            slide06_Aravanaikum-Karangal-Orphanage/img01.png3.72x2.76
6     Aravanaikum-Karangal-Orphanage            slide06_Aravanaikum-Karangal-Orphanage/img02.png3.34x2.72
6     Aravanaikum-Karangal-Orphanage            slide06_Aravanaikum-Karangal-Orphanage/img03.png3.72x3.01
7     Rice-Pension-Elders                       slide07_Rice-Pension-Elders/img01.png3.97x3.03
7     Rice-Pension-Elders                       slide07_Rice-Pension-Elders/img02.png1.21x1.71
7     Rice-Pension-Elders                       slide07_Rice-Pension-Elders/img03.png2.55x3.03
7     Rice-Pension-Elders                       slide07_Rice-Pension-Elders/img04.png3.27x3.76
7     Rice-Pension-Elders                       slide07_Rice-Pension-Elders/img05.png3.32x3.66
8     Free-WaterCan-Members                     slide08_Free-WaterCan-Members/img01.png5.8x3.3
8     Free-WaterCan-Members                     slide08_Free-WaterCan-Members/img02.png2.04x3.87
8     Free-WaterCan-Members                     slide08_Free-WaterCan-Members/img03.png3.53x3.76
9     Medical-Help-Handicapped                  slide09_Medical-Help-Handicapped/img01.png3.41x3.34
9     Medical-Help-Handicapped                  slide09_Medical-Help-Handicapped/img02.png3.84x3.34
9     Medical-Help-Handicapped                  slide09_Medical-Help-Handicapped/img03.png6.88x3.98
